Model,Accuracy,Precision(macro),Recall(macro),F1(macro)
cnn_lstm,0.8833333333333333,0.9129464285714286,0.8833333333333333,0.8791481275491287
baseline_cnn,0.8530612244897959,0.8543705304316511,0.853648863035431,0.8533571473941749
transfer,0.4857,,,
efficientnet_or_vit,0.2531,,,
